Patient,FN + FB,T cell,Vim+ FB,aSMA+ FB,endothelial,mixed FB,quies mix str,quies str
34,0.8760964912280702,0.0,0.06469298245614036,0.0021929824561403508,0.0,0.027412280701754384,0.029605263157894735,0.0
38,0.007541478129713424,0.033936651583710405,0.0196078431372549,0.02564102564102564,0.8514328808446455,0.0,0.04524886877828054,0.016591251885369532
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0770042194092827,0.0,0.13924050632911392,0.020042194092827006,0.0,0.007383966244725738,0.4757383966244726,0.2805907172995781
41,0.013785180930499713,0.0,0.4003446295232625,0.02125215393452039,0.0,0.060884549109707066,0.46927053417576103,0.03446295232624928
42,0.0037688442211055275,0.001256281407035176,0.15577889447236182,0.06281407035175879,0.005025125628140704,0.00628140703517588,0.4861809045226131,0.27889447236180903
43,0.0,0.9321266968325792,0.02262443438914027,0.0,0.0,0.0,0.04524886877828054,0.0
44,0.257433489827856,0.0,0.032081377151799685,0.04538341158059468,0.25273865414710484,0.14945226917057902,0.257433489827856,0.005477308294209703
48,0.0,0.0,0.0,0.0,0.0,0.0,0.004067402672864613,0.9959325973271353
50,0.205607476635514,0.009345794392523364,0.0,0.0,0.7850467289719626,0.0,0.0,0.0
51,0.007532956685499058,0.0018832391713747645,0.0,0.007532956685499058,0.0,0.0,0.3578154425612053,0.6252354048964218
53,0.10869565217391304,0.0,0.0,0.005115089514066497,0.0,0.01278772378516624,0.37595907928388744,0.49744245524296676
54,0.0,0.0009737098344693282,0.0,0.007789678675754625,0.0,0.0,0.03992210321324245,0.9513145082765336
55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.07795698924731183,0.9220430107526881
57,0.20261437908496732,0.0,0.0,0.16993464052287582,0.0,0.0,0.35294117647058826,0.27450980392156865
58,0.0,0.21282220753469927,0.00033046926635822867,0.0013218770654329147,0.00033046926635822867,0.0,0.3327825512227363,0.4524124256444151
6,0.11914323962516733,0.0,0.12182061579651941,0.1499330655957162,0.0,0.3989290495314592,0.20615796519410978,0.004016064257028112
